Symbol,scriptcode,previousclose,buyval,sellval,stoplossval,tp1,tp2,tp3,tp1qty,tp2qty,tp3qty,slqty,totalqty,stoplos_bool,tp1_bool,tp2_bool,tp3_bool,tradetype,tslstep,tslmove,tslval,slpts
CREDITACC,4421,1322.2,1461.031,1176.758,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
CUB,5701,132.9,146.8545,118.281,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
DABUR,772,533.4,589.4069999999999,474.726,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
DEEPAKFERT,827,503.6,556.4780000000001,448.204,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
DEEPAKNTR,19943,2165.45,2392.8222499999997,1927.2504999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
DIXON,21690,7051.05,7791.41025,6275.4345,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
EASEMYTRIP,2792,46.75,51.65875,41.6075,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
EICHERMOT,910,3783.9,4181.2095,3367.6710000000003,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
EIDPARRY,916,602.15,665.3757499999999,535.9135,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
EIHOTEL,919,414.5,458.0225,368.905,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ELGIEQUIP,937,684.45,756.3172500000001,609.1605000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
EMAMILTD,13517,444.9,491.61449999999996,395.96099999999996,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ENDURANCE,18822,1802.95,1992.2597500000002,1604.6255,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ENGINERSIN,4907,216.8,239.56400000000002,192.952,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
EPL,981,187.4,207.077,166.786,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
EQUITASBNK,913,96.95,107.12975,86.2855,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ESCORTS,958,2838.1,3136.1005,2525.909,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
FDC,4898,434.25,479.84625,386.4825,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
FEDERALBNK,1023,155.4,171.717,138.306,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
FSL,14304,193.45,213.76225,172.1705,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GAEL,8828,399.0,440.895,355.11,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GICRE,277,356.3,393.7115,317.107,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GLAND,1186,1752.8,1936.844,1559.992,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GLAXO,1153,2009.4,2220.387,1788.366,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GLENMARK,7406,955.3,1055.6064999999999,850.217,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GMMPFAUDLR,1570,1255.35,1387.16175,1117.2614999999998,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GMRINFRA,13528,82.7,91.3835,73.60300000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GNFC,1174,617.55,682.39275,549.6195,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GODREJPROP,17875,2421.15,2675.37075,2154.8235,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GPIL,13409,730.8,807.534,650.4119999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GRANULES,11872,440.8,487.084,392.312,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GRAPHITE,592,627.35,693.22175,558.3415,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GRASIM,1232,2236.8,2471.664,1990.7520000000002,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GSFC,1247,207.7,229.5085,184.85299999999998,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GSPL,13197,358.7,396.3635,319.243,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GUJALKALI,1267,758.85,838.52925,675.3765000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
GUJGASLTD,10599,565.5,624.8775,503.295,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HAL,2303,3371.45,3725.45225,3000.5905,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HCLTECH,7229,1638.65,1810.7082500000001,1458.3985,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HEG,1336,1675.85,1851.81425,1491.5065,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HEROMOTOCO,1348,4671.7,5162.2285,4157.813,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
HFCL,21951,95.7,105.7485,85.173,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
